time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-21T20:50:06.180Z,33.518,140.497,65.7,4.4,mb,39,,,1.17,us,usp000a6h6,2014-11-07T01:11:45.641Z,"Izu Islands, Japan region",earthquake,,,,14,reviewed,us,us
2000-12-21T03:36:52.820Z,50.106,152.38,310,4,mb,37,,,0.9,us,usp000a6ft,2014-11-07T01:11:45.483Z,"northwest of the Kuril Islands",earthquake,,8.2,,11,reviewed,us,us
2000-12-21T00:15:05.410Z,57.761,130.398,10,4.2,mb,13,,,0.76,us,usp000a6ff,2014-11-07T01:11:45.369Z,"southwestern Sakha, Russia",earthquake,,,,3,reviewed,us,us
2000-12-20T22:05:14.050Z,50.571,157.25,60.4,4.4,mb,29,,,0.88,us,usp000a6f5,2014-11-07T01:11:45.336Z,"Kuril Islands",earthquake,,14,,11,reviewed,us,us
2000-12-20T13:22:23.400Z,36.84,71.024,84.5,5,mb,117,,,0.86,us,usp000a6e9,2014-11-07T01:11:45.214Z,"Hindu Kush region, Afghanistan",earthquake,,7.5,,55,reviewed,us,us
2000-12-20T09:19:50.100Z,53.418,159.837,66.8,5.4,mwc,401,,,0.87,us,usp000a6dw,2016-11-10T00:14:52.343Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,reviewed,us,hrv
2000-12-20T02:28:26.980Z,38.03,142.594,33,4.1,mb,15,,,0.73,us,usp000a6d4,2014-11-07T01:11:44.995Z,"near the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2000-12-19T15:46:22.300Z,43.225,149.422,33,4.5,mb,17,,,1.3,us,usp000a6bv,2014-11-07T01:11:44.901Z,"east of the Kuril Islands",earthquake,,,,6,reviewed,us,us
2000-12-19T11:52:59.080Z,37.496,69.775,33,4.1,mb,14,,,1.1,us,usp000a6bg,2014-11-07T01:11:44.845Z,"Hindu Kush region, Afghanistan",earthquake,,,,3,reviewed,us,us
2000-12-18T23:42:25.920Z,47.399,154.14,33,4.1,mb,12,,,1.04,us,usp000a6a7,2014-11-07T01:11:44.751Z,"Kuril Islands",earthquake,,,,2,reviewed,us,us
2000-12-18T22:35:38.280Z,47.272,154.339,33,4.2,mb,14,,,0.77,us,usp000a6a3,2014-11-07T01:11:44.742Z,"Kuril Islands",earthquake,,,,1,reviewed,us,us
2000-12-18T15:55:06.110Z,39.511,73.729,73.5,4.4,mb,33,,,1.15,us,usp000a69d,2014-11-07T01:11:44.666Z,"Kyrgyzstan",earthquake,,15.1,,12,reviewed,us,us
2000-12-18T08:48:16.010Z,36.237,71.472,33,4,mb,10,,,0.66,us,usp000a68x,2014-11-07T01:11:44.635Z,"Afghanistan-Tajikistan-Pakistan region",earthquake,,,,1,reviewed,us,us
2000-12-17T01:33:58.120Z,54.388,162.055,33,5.1,mwc,244,,,0.88,us,usp000a66n,2016-11-10T00:13:18.992Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,reviewed,us,hrv
2000-12-16T14:27:07.750Z,33.546,33.134,33,4.5,mb,89,,,1.25,us,usp000a65w,2014-11-07T01:11:44.277Z,"eastern Mediterranean Sea",earthquake,,,,29,reviewed,us,us
2000-12-16T07:31:08.490Z,42.645,12.659,10,4.3,mb,110,,,,us,usp000a65a,2014-11-07T01:11:44.200Z,"central Italy",earthquake,,,,5,reviewed,rom,us
2000-12-15T16:44:47.660Z,38.457,31.351,10,6,mwc,174,,,1.24,us,usp000a64f,2020-02-06T20:15:00.147Z,"western Turkey",earthquake,,,,,reviewed,us,hrv
2000-12-15T16:44:43.440Z,38.541,31.207,10,5,mb,161,,,1.26,us,usp000a64e,2014-11-07T01:11:44.081Z,"western Turkey",earthquake,,,,49,reviewed,us,us
2000-12-15T15:23:37.210Z,36.921,69.884,38.6,4.6,mb,39,,,0.87,us,usp000a64b,2014-11-07T01:11:44.074Z,"Hindu Kush region, Afghanistan",earthquake,,13.9,,18,reviewed,us,us
2000-12-15T12:42:09.400Z,47.239,154.064,39.1,4.8,mb,37,,,1.28,us,usp000a642,2014-11-07T01:11:44.001Z,"Kuril Islands",earthquake,,17.7,,17,reviewed,us,us
2000-12-15T00:40:57.970Z,47.109,154.045,33,4,mb,10,,,1.12,us,usp000a63b,2014-11-07T01:11:43.940Z,"Kuril Islands",earthquake,,,,2,reviewed,us,us
2000-12-14T14:42:16.840Z,47.209,154.171,33,4.8,mb,39,,,1,us,usp000a62h,2014-11-07T01:11:43.881Z,"Kuril Islands",earthquake,,,,13,reviewed,us,us
2000-12-14T12:57:06.060Z,47.414,153.75,33,4.3,mb,9,,,1.5,us,usp000a62c,2014-11-07T01:11:43.872Z,"Kuril Islands",earthquake,,,,1,reviewed,us,us
2000-12-13T13:39:28.120Z,47.215,154.041,33,4.9,mb,55,,,1,us,usp000a60m,2014-11-07T01:11:43.732Z,"Kuril Islands",earthquake,,,,21,reviewed,us,us
2000-12-13T11:56:57.580Z,47.369,154.102,33,4.3,mb,9,,,0.86,us,usp000a60b,2014-11-07T01:11:43.716Z,"Kuril Islands",earthquake,,,,1,reviewed,us,us
2000-12-13T11:00:46.730Z,47.26,153.931,36.4,5.1,mb,102,,,1.11,us,usp000a609,2014-11-07T01:11:43.693Z,"Kuril Islands",earthquake,,,,44,reviewed,us,us
2000-12-13T08:09:03.990Z,36.148,-5.571,71.6,4.3,mb,108,,,0.96,us,usp000a602,2014-11-07T01:11:43.669Z,"Strait of Gibraltar",earthquake,,4.2,,4,reviewed,us,us
2000-12-13T04:44:22.530Z,47.968,86.123,40.3,4.9,mb,39,,,0.94,us,usp000a5zs,2017-04-13T22:13:32.766Z,"northern Xinjiang, China",earthquake,,,,18,reviewed,us,us
2000-12-13T01:14:41.860Z,52.966,142.689,10,4.1,mb,10,,,1.24,us,usp000a5zf,2014-11-07T01:11:43.611Z,"Sakhalin, Russia",earthquake,,,,3,reviewed,us,us
